index, type, weight, price
1, Shrimp, 3.1504985796317593, 4.99
2, Scallop, 0.6860656775975762, 4.99
3, Crab, 2.349742285442232, 4.99
4, Shrimp, 3.057436759614148, 4.99
5, Scallop, 3.9082981270491324, 4.99
6, Fish, 3.6854607411395697, 4.99
7, Shrimp, 1.7353325052471702, 4.99
8, Crab, 4.889586215029839, 4.99
9, Scallop, 4.942219515790003, 4.99
10, Shrimp, 2.218262179243087, 4.99
11, Shrimp, 3.3246583208936777, 4.99
12, Shrimp, 0.8727702495428086, 4.99
13, Crab, 1.064114330188665, 4.99
14, Crab, 1.1613273296906321, 4.99
15, Fish, 4.4501258440150915, 4.99
16, Scallop, 1.8089287275586068, 4.99
17, Crab, 3.336248410380441, 4.99
18, Crab, 1.9255441909747553, 4.99
19, Shrimp, 0.7143799750369738, 4.99
20, Fish, 0.062454116821499234, 4.99
21, Crab, 0.3113068842442548, 4.99
22, Shrimp, 0.3505813998313518, 4.99
23, Fish, 3.559133012293436, 4.99
24, Scallop, 4.655413019329889, 4.99
25, Shrimp, 4.742946688343285, 4.99
26, Shrimp, 1.607948169700768, 4.99
27, Fish, 0.9839453747711849, 4.99
28, Shrimp, 1.9662339298202094, 4.99
29, Crab, 1.852085666286807, 4.99
30, Crab, 0.2977767939058008, 4.99
31, Crab, 3.1238892254162263, 4.99
32, Crab, 1.3207984948773572, 4.99
33, Crab, 0.7296070595240028, 4.99
34, Crab, 0.07888606447696911, 4.99
35, Scallop, 2.5890277878306955, 4.99
36, Shrimp, 2.164238709228453, 4.99
37, Crab, 3.131181629131852, 4.99
38, Scallop, 3.9775978819336806, 4.99
39, Crab, 1.3521393765980727, 4.99
40, Crab, 1.77993214176297, 4.99
41, Fish, 4.874737973184727, 4.99
42, Scallop, 2.086200946863517, 4.99
43, Fish, 0.7722584036597631, 4.99
44, Fish, 2.8951250678255724, 4.99
45, Scallop, 3.938654237030432, 4.99
46, Fish, 0.49537325526986786, 4.99
47, Fish, 0.37995606545431226, 4.99
48, Scallop, 2.5207559699260567, 4.99
49, Crab, 1.9820892018243335, 4.99
50, Fish, 0.6230980280950813, 4.99
51, Fish, 1.5543082077742754, 4.99
52, Scallop, 2.0188993220137115, 4.99
53, Crab, 0.5287416824830673, 4.99
54, Fish, 2.71817962140829, 4.99
55, Shrimp, 3.7160703968905584, 4.99
56, Fish, 4.896810570522777, 4.99
57, Crab, 4.447614559310238, 4.99
58, Fish, 1.185259668938617, 4.99
59, Fish, 3.4054812593199855, 4.99
60, Fish, 1.0208898393840822, 4.99
61, Fish, 2.0576134365434036, 4.99
62, Crab, 3.476861551607876, 4.99
63, Scallop, 2.446523549023789, 4.99
64, Shrimp, 0.950575915170387, 4.99
65, Fish, 0.6957233399605097, 4.99
66, Scallop, 0.46137866845393566, 4.99
67, Crab, 4.77149138418965, 4.99
68, Fish, 4.366845840061028, 4.99
69, Fish, 3.62744438698857, 4.99
70, Crab, 0.19475137705122741, 4.99
71, Fish, 0.6958285255128611, 4.99
72, Scallop, 3.897776885294963, 4.99
73, Shrimp, 3.2746367241141847, 4.99
74, Shrimp, 3.811836190326905, 4.99
75, Fish, 1.1728264406234072, 4.99
76, Crab, 1.9967096055288212, 4.99
77, Crab, 2.4241036914479652, 4.99
78, Crab, 1.655897115435575, 4.99
79, Shrimp, 3.561715067884773, 4.99
80, Fish, 2.1736324995241993, 4.99
81, Scallop, 2.7444453035047522, 4.99
82, Scallop, 2.0243027553288746, 4.99
83, Scallop, 1.2906501647529194, 4.99
84, Crab, 0.9562367519963967, 4.99
85, Scallop, 2.9409366160860997, 4.99
86, Shrimp, 4.95418807177209, 4.99
87, Scallop, 0.9542372270466192, 4.99
88, Crab, 4.021939487220243, 4.99
89, Scallop, 4.705557251843506, 4.99
90, Fish, 1.8856553238998472, 4.99
91, Shrimp, 2.9235490037131915, 4.99
92, Crab, 1.7113349752575953, 4.99
93, Scallop, 3.1316154575073605, 4.99
94, Fish, 1.0949165431924255, 4.99
95, Scallop, 4.126531239771975, 4.99
96, Scallop, 1.2868535562358558, 4.99
97, Scallop, 4.139629115375014, 4.99
98, Fish, 3.506781877922472, 4.99
99, Shrimp, 1.1985996988822434, 4.99
100, Scallop, 3.35974751428197, 4.99
101, Scallop, 0.9008471228295, 4.99
102, Scallop, 4.512020275703856, 4.99
103, Scallop, 3.43384157366285, 4.99
104, Shrimp, 3.7652713713442205, 4.99
105, Scallop, 1.1297875579779417, 4.99
106, Fish, 3.550586564951593, 4.99
